VWAP,change,high,lastPrice,lastUpdatedTime,low,marketType,pChange,quantityTraded,series,symbol,totalTradedVolume,index_name
1240.4,15.7,1250.5,1243,18-Aug-2026 16:00:29,1223.4,N,1.28,6282250158.8,EQ,AXISBANK,5064697,NIFTY 50
1005.88,10.7,1017,1014.4,18-Aug-2026 16:00:29,982.1,N,1.07,2232155349.16,EQ,MAXHEALTH,2219107,NIFTY 50
3421.63,31.1,3435,3421.5,18-Aug-2026 16:00:29,3390.2,N,0.92,4693326692.32,EQ,M&M,1371664,NIFTY 50
3279.61,28.2,3297.7,3278.7,18-Aug-2026 16:00:29,3250.5,N,0.87,4915672964.99,EQ,GRASIM,1498859,NIFTY 50
267.51,1.85,268.95,268,18-Aug-2026 16:00:29,266.05,N,0.70,1816974199.23,EQ,POWERGRID,6792173,NIFTY 50
1322.76,6,1328.6,1322,18-Aug-2026 16:00:29,1311.2,N,0.46,13466446804.92,EQ,RELIANCE,10180567,NIFTY 50
1094.84,5,1100,1094.3,18-Aug-2026 16:00:29,1087.6,N,0.46,3694009867.12,EQ,BAJFINANCE,3374018,NIFTY 50
239.77,1.01,241.3,239.5,18-Aug-2026 16:00:29,238.02,N,0.42,3573437370.85,EQ,ONGC,14903605,NIFTY 50
2010.19,6.2,2018.8,2011.2,18-Aug-2026 16:00:29,1998,N,0.31,830682874.84,EQ,BAJAJFINSV,413236,NIFTY 50
338.13,0.1,339.3,337.1,18-Aug-2026 16:00:29,333.9,N,0.03,3362361676.83,EQ,NTPC,9943991,NIFTY 50
1433.13,-0.4,1437.6,1431.1,18-Aug-2026 16:00:29,1428.4,N,-0.03,844681089.48,EQ,CIPLA,589396,NIFTY 50
8841.7,-8.5,8907,8817,18-Aug-2026 16:00:29,8786.5,N,-0.10,4199780974.9,EQ,APOLLOHOSP,474997,NIFTY 50
413.09,-0.45,416.35,412,18-Aug-2026 16:00:29,410.95,N,-0.11,3767766626.06,EQ,BEL,9120934,NIFTY 50
2956.69,-3.9,2980.4,2942.1,18-Aug-2026 16:00:29,2932.1,N,-0.13,2123849560.8,EQ,TRENT,718320,NIFTY 50
3023.6,-4.8,3036,3002.5,18-Aug-2026 16:00:29,3002.5,N,-0.16,2183002916.8,EQ,ADANIENT,721988,NIFTY 50
1410.78,-3.3,1416.6,1412,18-Aug-2026 16:00:29,1406.3,N,-0.23,11773238434.44,EQ,ICICIBANK,8345198,NIFTY 50
185.31,-0.5,187.11,185.5,18-Aug-2026 16:00:29,184.33,N,-0.27,2481938551.71,EQ,TATASTEEL,13393441,NIFTY 50
1880.48,-6.9,1899,1875.1,18-Aug-2026 16:00:29,1868.3,N,-0.37,3420910921.12,EQ,SUNPHARMA,1819169,NIFTY 50
409.54,-1.55,412.7,406.9,18-Aug-2026 16:00:29,406.75,N,-0.38,3011207966.86,EQ,COALINDIA,7352659,NIFTY 50
5056.71,-19.9,5094.9,5048.6,18-Aug-2026 16:00:29,5042.5,N,-0.39,1794489847.83,EQ,TITAN,354873,NIFTY 50
8072.48,-31.5,8107,8018.5,18-Aug-2026 16:00:29,8016.5,N,-0.39,2119026000,EQ,EICHERMOT,262500,NIFTY 50
11674.12,-56,11768,11607,18-Aug-2026 16:00:29,11581,N,-0.48,2776292521.92,EQ,BAJAJ-AUTO,237816,NIFTY 50
13788.11,-69,13890,13691,18-Aug-2026 16:00:29,13691,N,-0.50,3687395621.63,EQ,MARUTI,267433,NIFTY 50
1680.69,-8.6,1693.7,1682.4,18-Aug-2026 16:00:29,1667,N,-0.51,2181812933.85,EQ,ADANIPORTS,1298165,NIFTY 50
1467.72,-7.5,1479.8,1462.5,18-Aug-2026 16:00:29,1453,N,-0.51,2664228827.52,EQ,NESTLEIND,1815216,NIFTY 50
4070.83,-22.4,4085,4064.3,18-Aug-2026 16:00:29,4050,N,-0.55,5518315377.25,EQ,LT,1355575,NIFTY 50
317.92,-2.1,321.2,315.9,18-Aug-2026 16:00:29,315.55,N,-0.66,5845597265.44,EQ,ETERNAL,18387007,NIFTY 50
1782.16,-12.4,1796.5,1778,18-Aug-2026 16:00:29,1762.5,N,-0.69,1041603015.76,EQ,SBILIFE,584461,NIFTY 50
1056.82,-8.2,1067.7,1053,18-Aug-2026 16:00:29,1053,N,-0.77,5901040868.22,EQ,SBIN,5583771,NIFTY 50
1042.61,-8.3,1050.6,1041.6,18-Aug-2026 16:00:29,1038,N,-0.79,2632991654.85,EQ,HINDALCO,2525385,NIFTY 50
1274.49,-10.2,1285.8,1267.6,18-Aug-2026 16:00:29,1265,N,-0.80,916379976.33,EQ,JSWSTEEL,719017,NIFTY 50
724.69,-6,729,723,18-Aug-2026 16:00:29,723,N,-0.82,12983913457.83,EQ,HDFCBANK,17916507,NIFTY 50
540.27,-4.75,542.9,538.25,18-Aug-2026 16:00:29,537.55,N,-0.87,686981399.04,EQ,HDFCLIFE,1271552,NIFTY 50
2041.15,-20,2060,2035,18-Aug-2026 16:00:29,2034.9,N,-0.97,2519995625.4,EQ,HINDUNILVR,1234596,NIFTY 50
1068.06,-11,1079.1,1061.6,18-Aug-2026 16:00:29,1061.6,N,-1.03,1003896295.5,EQ,TATACONSUM,939925,NIFTY 50
5213.07,-55.5,5238,5220,18-Aug-2026 16:00:29,5138,N,-1.05,2892096548.46,EQ,INDIGO,554778,NIFTY 50
1184.21,-13.2,1189.3,1178.8,18-Aug-2026 16:00:29,1176.1,N,-1.11,954038654.93,EQ,DRREDDY,805633,NIFTY 50
