VWAP,change,high,lastPrice,lastUpdatedTime,low,marketType,pChange,quantityTraded,series,symbol,totalTradedVolume,index_name
425.89,13.3,428.75,428,22-Sep-2026 16:00:28,419.65,N,3.21,7102215744.86,EQ,COALINDIA,16676174,NIFTY 50
338.71,6.1,342,342,22-Sep-2026 16:00:28,334.65,N,1.82,7545424040.95,EQ,ETERNAL,22276945,NIFTY 50
4995.71,89,5064,5030,22-Sep-2026 16:00:28,4943,N,1.80,4365416256.43,EQ,INDIGO,873833,NIFTY 50
4938.31,53.5,4982,4928.5,22-Sep-2026 16:00:28,4862.5,N,1.10,6114487045.94,EQ,TITAN,1238174,NIFTY 50
1212.67,12.7,1222,1211,22-Sep-2026 16:00:28,1201.2,N,1.06,4068625478.99,EQ,DRREDDY,3355097,NIFTY 50
164.43,1.45,166,166,22-Sep-2026 16:00:28,163.21,N,0.88,2421543015.99,EQ,WIPRO,14726893,NIFTY 50
184.16,1.57,185.49,184.97,22-Sep-2026 16:00:28,183.1,N,0.86,3227497737.44,EQ,TATASTEEL,17525509,NIFTY 50
2996.68,22,3026.1,2997,22-Sep-2026 16:00:28,2979.6,N,0.74,2378605759.96,EQ,ADANIENT,793747,NIFTY 50
1798.22,7.9,1812.7,1795,22-Sep-2026 16:00:28,1786.1,N,0.44,1567930955.7,EQ,ADANIPORTS,871935,NIFTY 50
327.48,1.4,329,327.8,22-Sep-2026 16:00:28,325.55,N,0.43,2036600412.36,EQ,NTPC,6219007,NIFTY 50
2452.07,8.2,2475.1,2448.5,22-Sep-2026 16:00:28,2435.6,N,0.34,1016910210.05,EQ,ASIANPAINT,414715,NIFTY 50
231.2,0.73,234,230.7,22-Sep-2026 16:00:28,229.34,N,0.32,1985116492.8,EQ,JIOFIN,8586144,NIFTY 50
12193.61,37,12275,12190,22-Sep-2026 16:00:28,12142,N,0.30,3008456233.64,EQ,MARUTI,246724,NIFTY 50
235.24,0.5,236.37,236.13,22-Sep-2026 16:00:28,233.75,N,0.21,1904778976.52,EQ,ONGC,8097173,NIFTY 50
1758.64,0.3,1772.7,1756.3,22-Sep-2026 16:00:28,1740,N,0.02,579772607.44,EQ,SBILIFE,329671,NIFTY 50
563.24,-0.2,567.4,559.2,22-Sep-2026 16:00:28,559.05,N,-0.04,1007301232.2,EQ,HDFCLIFE,1788405,NIFTY 50
267.07,-0.15,268.3,265.95,22-Sep-2026 16:00:28,265.95,N,-0.06,1953561499.44,EQ,POWERGRID,7314792,NIFTY 50
744.53,-0.9,749.3,738.6,22-Sep-2026 16:00:28,738.6,N,-0.12,26418656080.57,EQ,HDFCBANK,35483669,NIFTY 50
1270.31,-1.6,1277.5,1267,22-Sep-2026 16:00:28,1264.4,N,-0.13,1111002963.52,EQ,JSWSTEEL,874592,NIFTY 50
1371.09,-2,1388.7,1384.1,22-Sep-2026 16:00:28,1364.5,N,-0.14,1051816611.51,EQ,CIPLA,767139,NIFTY 50
397.9,-0.6,400.65,397.9,22-Sep-2026 16:00:28,395.8,N,-0.15,3377683572.5,EQ,BEL,8488775,NIFTY 50
3055.76,-10.8,3093.7,3044.5,22-Sep-2026 16:00:28,3035,N,-0.35,5219513098.4,EQ,M&M,1708090,NIFTY 50
1340.38,-5.4,1347.2,1339.6,22-Sep-2026 16:00:28,1333.8,N,-0.40,8622998294.62,EQ,ICICIBANK,6433249,NIFTY 50
1543.54,-6.9,1558.7,1551.6,22-Sep-2026 16:00:28,1530.9,N,-0.44,1564715825.26,EQ,TECHM,1013719,NIFTY 50
266.25,-1.2,268.25,265.8,22-Sep-2026 16:00:28,264.75,N,-0.45,1911101763.75,EQ,ITC,7177847,NIFTY 50
414.63,-2.15,417.8,412.65,22-Sep-2026 16:00:28,412.55,N,-0.52,1573587605.43,EQ,KOTAKBANK,3795161,NIFTY 50
300.58,-1.6,302.8,300.05,22-Sep-2026 16:00:28,298.5,N,-0.53,2084551456.26,EQ,TMPV,6935097,NIFTY 50
1245.15,-7,1251.9,1240.4,22-Sep-2026 16:00:28,1237.4,N,-0.56,13303650776.4,EQ,RELIANCE,10684376,NIFTY 50
1005.9,-5.8,1016.6,1006,22-Sep-2026 16:00:28,995.5,N,-0.57,3795330107.1,EQ,SHRIRAMFIN,3773069,NIFTY 50
1244.75,-7.3,1255.6,1242.7,22-Sep-2026 16:00:28,1240.1,N,-0.58,3347269672.5,EQ,AXISBANK,2689110,NIFTY 50
1940.9,-13.2,1956.8,1933.8,22-Sep-2026 16:00:28,1933.8,N,-0.68,1985618336,EQ,HINDUNILVR,1023040,NIFTY 50
1824.24,-13,1836.3,1817.2,22-Sep-2026 16:00:28,1813,N,-0.71,7541838680.64,EQ,BHARTIARTL,4134236,NIFTY 50
1264.13,-10.6,1286.1,1270.4,22-Sep-2026 16:00:28,1240.3,N,-0.83,3389114832.18,EQ,HCLTECH,2680986,NIFTY 50
973.05,-8.2,987.5,973,22-Sep-2026 16:00:28,967.1,N,-0.84,3246177509.25,EQ,HINDALCO,3336085,NIFTY 50
11353.18,-97,11515,11363,22-Sep-2026 16:00:28,11281,N,-0.85,1756972724.08,EQ,BAJAJ-AUTO,154756,NIFTY 50
8907.74,-76.5,9000,8835.5,22-Sep-2026 16:00:28,8822.5,N,-0.86,3122225224.18,EQ,APOLLOHOSP,350507,NIFTY 50
1027.29,-9.1,1041,1029.4,22-Sep-2026 16:00:28,1019.2,N,-0.88,9596027864.61,EQ,INFY,9341109,NIFTY 50
11086.88,-100,11142,11000,22-Sep-2026 16:00:28,11000,N,-0.90,3556637843.36,EQ,ULTRACEMCO,320797,NIFTY 50
