key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,indicativeClose,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,date365dAgo,date30dAgo,previousDay,oneWeekAgo,oneMonthAgoVal,oneWeekAgoVal,oneYearAgoVal,previousDayVal,chart365dPath,chart30dPath,chartTodayPath
INDICES ELIGIBLE IN DERIVATIVES,NIFTY 50,NIFTY 50,23217.6,99.0,0.43,23201.6,23284.75,23116.1,23118.6,26373.2,22182.55,0,19.63,2.81,1.22,19,30,1,-8.01,-4.71,15-Sep-2025,14-Aug-2026,16-Sep-2026,09-Sep-2026,24366.0,23431.5,25069.2,23217.6,https://nsearchives.nseindia.com/365d/NIFTY-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-50.svg,https://nsearchives.nseindia.com/today/NIFTY-50.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY NEXT 50,NIFTY NEXT 50,70368.6,87.45,0.12,70240.4,70631.9,69592.15,70281.15,75000.4,59896.1,0,18.6,3.13,1.03,22,28,0,1.98,-5.53,15-Sep-2025,14-Aug-2026,16-Sep-2026,09-Sep-2026,74486.55,72853.85,68603.15,70368.6,https://nsearchives.nseindia.com/365d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/today/NIFTY-NEXT-50.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY BANK,NIFTY BANK,56292.45,497.7,0.89,56007.65,56368.7,55812.2,55794.75,61764.85,49954.85,0,13.32,1.69,0.7,2,12,0,2.08,-2.08,15-Sep-2025,14-Aug-2026,16-Sep-2026,09-Sep-2026,57491.1,56295.55,54887.85,56292.45,https://nsearchives.nseindia.com/365d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/30d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/today/NIFTY-BANK.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,25262.4,185.75,0.74,25167.65,25305.45,25057.25,25076.65,28562.5,23373.95,0,15.49,2.34,0.99,7,13,0,-4.65,-3.63,15-Sep-2025,14-Aug-2026,16-Sep-2026,09-Sep-2026,26213.65,25376.8,26393.05,25262.4,https://nsearchives.nseindia.com/365d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/30d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/today/NIFTY-FIN-SERVICE.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14288.45,22.1,0.15,14336.3,14366.3,14133.3,14266.35,15089.75,12046.2,0,31.19,4.31,0.51,13,12,0,8.69,-4.56,15-Sep-2025,14-Aug-2026,16-Sep-2026,09-Sep-2026,14971.75,14604.4,13102.15,14288.45,https://nsearchives.nseindia.com/365d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/30d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/today/NIFTY-MID-SELECT.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY INDIA FPI 150,NIFTY FPI 150,1505.1,3.85,0.26,1505.55,1510.9,1496.15,1501.25,1641.4,1346.5,0,21.34,3.18,1.09,63,85,2,0.0,-4.93,,14-Aug-2026,16-Sep-2026,09-Sep-2026,1583.1,1532.4,0.0,1505.1,,https://nsearchives.nseindia.com/30d/NIFTY-FPI-150.svg,https://nsearchives.nseindia.com/today/NIFTY-FPI-150.svg
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,24282.95,89.95,0.37,24261.1,24356.65,24147.75,24193.0,26975.15,22720.45,0,19.43,2.86,1.18,41,58,1,-6.26,-4.87,15-Sep-2025,14-Aug-2026,16-Sep-2026,09-Sep-2026,25524.85,24624.3,25733.55,24282.95,https://nsearchives.nseindia.com/365d/NIFTY-100.svg,https://nsearchives.nseindia.com/30d/NIFTY-100.svg,https://nsearchives.nseindia.com/today/NIFTY-100.svg
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13481.9,39.65,0.29,13477.2,13522.85,13391.4,13442.25,14700.95,12396.1,0,20.85,3.06,1.06,90,108,2,-4.43,-4.8,15-Sep-2025,14-Aug-2026,16-Sep-2026,09-Sep-2026,14162.2,13710.1,14017.9,13481.9,https://nsearchives.nseindia.com/365d/NIFTY-200.svg,https://nsearchives.nseindia.com/30d/NIFTY-200.svg,https://nsearchives.nseindia.com/today/NIFTY-200.svg
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,22532.0,54.55,0.24,22526.55,22596.15,22342.75,22477.45,24144.2,20385.65,0,21.83,3.13,0.99,251,244,6,-3.58,-4.5,15-Sep-2025,14-Aug-2026,16-Sep-2026,09-Sep-2026,23594.9,22958.75,23215.85,22532.0,https://nsearchives.nseindia.com/365d/NIFTY-500.svg,https://nsearchives.nseindia.com/30d/NIFTY-500.svg,https://nsearchives.nseindia.com/today/NIFTY-500.svg
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17560.1,3.75,0.02,17607.9,17662.65,17373.7,17556.35,18500.95,14804.55,0,34.53,4.2,0.54,26,23,1,5.78,-3.84,15-Sep-2025,14-Aug-2026,16-Sep-2026,09-Sep-2026,18260.65,17994.1,16507.05,17560.1,https://nsearchives.nseindia.com/365d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDCAP-50.svg
